# Average annual return on wealth by wealth-percentile bucket, digitized from
# a bar chart supplied by the user (2026-07-22 screenshot), attributed to
# Xavier (2021) "Wealth Inequality in the US: The Role of Heterogeneous
# Returns" (SSRN 3915439, already cited as `xavier2021` in .overleaf/bio.bib
# and quoted in the paper's "Showcase of capability" paragraph: 3.6% at the
# 20th percentile rising to 8.3% at the 99th).
#
# Bars read off directly (bar-label values, not pixel-estimated): the chart
# has no bar for the bottom 20% of the wealth distribution -- Xavier's data
# starts at the 20th percentile. bucket_low=0 is NOT in the source figure; see
# README.md for the flat-extrapolation convention used to cover it.
#
# The chart also carries a dashed horizontal reference line at approx. 6.8%
# (read off, not bar-labeled) -- read here as the aggregate/wealth-weighted
# average return, NOT a percentile bucket. Recorded as a comment only; it is
# not part of the per-bucket target vector used by the calibration script.
# dashed_reference_return_pct,6.8
#
# bucket_low/high: wealth-percentile bucket bounds (%).
# mean_return_pct: average annual return on wealth in that bucket (%).
# source: "chart" (bar-labeled digit) or "extrapolated" (README's convention
# for the missing bottom-20% bucket, not in the source figure).
bucket_low,bucket_high,mean_return_pct,source
0,20,3.6,chart
20,40,3.6,chart
40,60,3.7,chart
60,70,3.3,chart
70,80,3.7,chart
80,90,3.9,chart
90,95,5.1,chart
95,97,6.3,chart
97,99,7.5,chart
99,100,8.3,chart
