update,action_saturation,approx_kl,c_frac_env,clip_frac,entropy,explained_variance,grad_norm,l_env,policy_loss,returned_episode_returns,step_reward,total_loss,value_loss
0,0.32729375,0.008332817,0.50125664,0.08597813,1.3848227,0.008249044,0.5617416,0.0,-0.0133275315,-0.9676568,-0.96765685,29.616068,59.25879
1,0.29998332,0.0072654756,0.54572654,0.07106875,1.3186345,0.009721994,0.49978337,0.0,-0.011578396,-193.42754,-0.86382294,24.067612,48.158386
2,0.27873334,0.0056063803,0.5800267,0.05261354,1.252357,0.016129673,0.44409552,0.0,-0.00944186,-172.6731,-0.77234226,20.311752,40.642387
3,0.2603375,0.004581554,0.6015787,0.04171302,1.1858242,0.025856137,0.41209927,0.0,-0.007800889,-154.38243,-0.6863147,17.336601,34.688805
4,0.24693541,0.0038044015,0.6318163,0.033010937,1.1222596,0.045764327,0.40005133,0.0,-0.0062169065,-137.15697,-0.5803363,13.57076,27.153952
5,0.24395625,0.0032221002,0.663572,0.025840625,1.0658709,0.06980622,0.63673747,0.0,-0.0047705825,-115.94027,-0.45334128,10.271515,20.55257
6,0.25509793,0.002489629,0.7078469,0.017053645,1.0182357,0.0925771,1.2657039,0.0,-0.0032383623,-90.54029,-0.3253762,7.9509983,15.908474
7,0.25526875,0.0017384579,0.7276731,0.009545313,0.97711086,0.091041565,1.7165444,0.0,-0.0021513528,-65.058395,-0.30853087,8.874619,17.75354
8,0.25001043,0.0012496958,0.7314262,0.005808854,0.94146407,0.106547296,1.7967244,0.0,-0.0015839429,-61.672264,-0.2746207,8.463362,16.92989
9,0.24880417,0.0012851218,0.742796,0.007154688,0.90512633,0.12376088,1.577362,0.0,-0.0017860269,-54.89417,-0.24464682,7.283405,14.570381
10,0.25740835,0.0010181533,0.7578642,0.0050083334,0.8680092,0.14023024,1.4308757,0.0,-0.0012335626,-48.87003,-0.18531437,7.2866955,14.575857
11,0.25285208,0.002007299,0.759978,0.013351042,0.82573354,0.1552425,0.553104,0.0,-0.0015279377,-37.012295,-0.13473475,6.7441664,13.491388
12,0.22028126,0.0018950468,0.7430827,0.012226563,0.7783492,0.19090652,0.8186027,0.0,-0.0015294333,-26.962627,-0.15041563,5.894291,11.791641
13,0.19244376,0.002522947,0.72715616,0.01790625,0.7304065,0.22914612,0.8435187,0.0,-0.0018610512,-30.097012,-0.16430084,4.9987335,10.001188
14,0.1827625,0.002547992,0.71874595,0.019105729,0.67906284,0.25598133,0.49204206,0.0,-0.0017680886,-32.768105,-0.072235025,5.201218,10.405972
15,0.15146667,0.0026257194,0.69915754,0.020590626,0.62796175,0.29617012,0.5011558,0.0,-0.0018516306,-14.442335,-0.06756641,4.6267076,9.257118
16,0.1238,0.003920606,0.6860029,0.033566147,0.5766449,0.3416325,0.5424681,0.0,-0.0024942048,-13.545385,-0.09966838,3.8140693,7.633127
17,0.08571875,0.0051139393,0.6430343,0.047552608,0.5227659,0.4016518,0.541103,0.0,-0.003144714,-19.933575,-0.09956854,3.4499474,6.906184
18,0.062625,0.0049038837,0.6012158,0.04406823,0.4663957,0.468194,0.5273838,0.0,-0.0033652955,-19.853788,-0.03964718,3.1134918,6.233714
19,0.043614585,0.0035199933,0.55962694,0.028031249,0.42086017,0.5182898,1.8480229,0.0,-0.002902919,-7.8636293,0.02615886,2.7915645,5.5889354
20,0.03269167,0.0038442358,0.5394955,0.034178644,0.37793726,0.53140914,2.002217,0.0,-0.0034672308,5.2600875,0.054475334,2.507668,5.022271
21,0.024997916,0.0037144176,0.5310105,0.031594794,0.33780056,0.52480847,2.6996017,0.0,-0.0027924739,10.933273,0.09268285,2.5000806,5.005746
22,0.020445833,0.0026337565,0.5057465,0.020589061,0.29775205,0.540269,2.9547641,0.0,-0.0025923667,18.592068,0.14817928,2.6014762,5.2081366
23,0.0144437505,0.0022875322,0.4905205,0.015619792,0.25402376,0.54035974,3.446331,0.0,-0.0022828686,29.664604,0.17692907,2.3748214,4.7542086
24,0.010404167,0.003214029,0.47443482,0.024198437,0.21103624,0.5554664,3.1224902,0.0,-0.0029191507,35.378063,0.16917424,2.1044,4.214638
25,0.010629167,0.002980035,0.43841806,0.023510415,0.16026857,0.5846411,2.8980527,0.0,-0.0033331658,33.87417,0.20849407,2.0187979,4.044262
26,0.0093,0.003405671,0.41238332,0.030527083,0.10420968,0.60589534,3.1507235,0.0,-0.0039518527,41.7201,0.229785,1.7885455,3.5849948
27,0.0074125,0.0057484126,0.38497856,0.05280729,0.041566983,0.6748963,2.692179,0.0,-0.006485666,45.979248,0.25203314,1.3598582,2.7326875
28,0.0069875,0.0053470433,0.36741576,0.05113177,-0.022482708,0.67432135,3.1097522,0.0,-0.005098685,50.446243,0.29164776,1.4781313,2.96646
29,0.0075895833,0.0038311493,0.35323143,0.032727607,-0.07989693,0.6655806,3.391152,0.0,-0.0035157516,58.369003,0.33110255,1.6862886,3.3796086
30,0.005185417,0.0041798223,0.34537926,0.03846302,-0.13464549,0.6812356,3.6270828,0.0,-0.0042629233,66.2493,0.3598963,1.61043,3.2293859
31,0.00453125,0.003747458,0.33178654,0.034254685,-0.19137216,0.6729738,3.8658915,0.0,-0.0038048844,72.00221,0.3828564,1.6421273,3.2918646
32,0.0039083334,0.003848064,0.3240428,0.035783853,-0.24167153,0.67004013,4.0690155,0.0,-0.0031929752,76.5913,0.40287527,1.6831377,3.3726616
33,0.0041875,0.0031809616,0.30739102,0.027946353,-0.29174513,0.66948617,4.047969,0.0,-0.002464542,80.61736,0.44518507,1.8080971,3.6211233
34,0.00223125,0.004272451,0.31775984,0.042347394,-0.33449054,0.66707706,4.0797224,0.0,-0.0029434268,89.020035,0.42821193,1.6160321,3.2379508
35,0.0018875,0.0040902914,0.30779552,0.04005,-0.37600738,0.66496766,3.718033,0.0,-0.0025181733,85.67063,0.45645776,1.681222,3.36748
36,0.0017125,0.0035667866,0.30032587,0.034880206,-0.4156952,0.6569489,4.4491324,0.0,-0.0016578162,91.30089,0.4657893,1.6346662,3.2726479
37,0.0013395833,0.003479375,0.29254532,0.031979166,-0.4551347,0.6459405,4.0460043,0.0,-0.0017598344,93.18642,0.49435064,1.6883543,3.3802285
38,0.0011729167,0.0030518696,0.29092917,0.024553645,-0.49210882,0.64871895,4.3357053,0.0,-0.0017566319,98.883385,0.5076009,1.7182069,3.439927
39,0.00078125,0.0031888604,0.2856991,0.030683853,-0.53023666,0.6382391,3.7670038,0.0,-0.0013511734,101.5242,0.511615,1.6418359,3.286374
40,0.00090833334,0.0020318776,0.27466846,0.014748437,-0.5671871,0.6316397,4.933069,0.0,-0.0012386935,102.34874,0.53735155,1.6733419,3.3491611
41,0.0007458333,0.0019557644,0.26418594,0.014692709,-0.60535604,0.61776555,4.7540455,0.0,-0.0009955738,107.49674,0.5637738,1.671747,3.3454852
42,0.00047708335,0.0027607917,0.262163,0.023365626,-0.64334255,0.6070638,4.801737,0.0,-0.00085283397,112.75795,0.56695545,1.6201937,3.242093
43,0.00031041668,0.0028350146,0.26775718,0.022845313,-0.674206,0.6200062,4.9022474,0.0,-0.0010446047,113.383446,0.559312,1.5284319,3.0589528
44,0.00043958332,0.0024983573,0.2555776,0.021071356,-0.70694447,0.6142738,4.6571665,0.0,-0.0006174595,111.88969,0.58658224,1.5498703,3.1009755
45,0.00035416667,0.003195242,0.2470547,0.02956771,-0.74133945,0.60214245,4.875082,0.0,-0.00027050223,117.33144,0.6015809,1.5339563,3.0684536
